,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
365,Angola,Broccoli,2012,998,1010,40,24.24
366,Angola,Cucumbers,2012,1641,1010,40,24.24
367,Angola,Spinach,2012,52954,1010,40,24.24
368,Angola,Bell Peppers,2012,11258,1010,40,24.24
369,Angola,Potatoes,2013,140517,1010,40,24.55
370,Angola,Tomatoes,2013,9467,1010,40,24.55
371,Angola,Potatoes,2013,63303,1010,40,24.55
372,Angola,Carrots,2013,12744,1010,40,24.55
373,Angola,Broccoli,2013,2415,1010,40,24.55
374,Angola,Cucumbers,2013,4405,1010,40,24.55
375,Angola,Spinach,2013,73409,1010,40,24.55
376,Angola,Bell Peppers,2013,9022,1010,40,24.55
377,Argentina,Potatoes,1990,100000,591,26156,17.46
378,Argentina,Potatoes,1990,100000,591,26156,17.67
379,Argentina,Tomatoes,1990,34608,591,26156,17.46
380,Argentina,Tomatoes,1990,34608,591,26156,17.67
381,Argentina,Potatoes,1990,202747,591,26156,17.46
382,Argentina,Potatoes,1990,202747,591,26156,17.67
383,Argentina,Carrots,1990,36709,591,26156,17.46
384,Argentina,Carrots,1990,36709,591,26156,17.67
385,Argentina,Broccoli,1990,28116,591,26156,17.46
386,Argentina,Broccoli,1990,28116,591,26156,17.67
387,Argentina,Cucumbers,1990,21566,591,26156,17.46
388,Argentina,Cucumbers,1990,21566,591,26156,17.67
389,Argentina,Spinach,1990,131864,591,26156,17.46
390,Argentina,Spinach,1990,131864,591,26156,17.67
391,Argentina,Bell Peppers,1990,18947,591,26156,17.46
392,Argentina,Bell Peppers,1990,18947,591,26156,17.67
393,Argentina,Potatoes,1991,100000,591,26156,17.64
394,Argentina,Potatoes,1991,100000,591,26156,17.86
395,Argentina,Tomatoes,1991,40444,591,26156,17.64
396,Argentina,Tomatoes,1991,40444,591,26156,17.86
397,Argentina,Potatoes,1991,205692,591,26156,17.64
398,Argentina,Potatoes,1991,205692,591,26156,17.86
399,Argentina,Carrots,1991,40294,591,26156,17.64
400,Argentina,Carrots,1991,40294,591,26156,17.86
401,Argentina,Broccoli,1991,33320,591,26156,17.64
402,Argentina,Broccoli,1991,33320,591,26156,17.86
403,Argentina,Cucumbers,1991,22750,591,26156,17.64
404,Argentina,Cucumbers,1991,22750,591,26156,17.86
405,Argentina,Spinach,1991,131364,591,26156,17.64
406,Argentina,Spinach,1991,131364,591,26156,17.86
407,Argentina,Bell Peppers,1991,18972,591,26156,17.64
408,Argentina,Bell Peppers,1991,18972,591,26156,17.86
409,Argentina,Potatoes,1992,100000,591,26156,17.09
410,Argentina,Potatoes,1992,100000,591,26156,17.51
411,Argentina,Tomatoes,1992,45237,591,26156,17.09
412,Argentina,Tomatoes,1992,45237,591,26156,17.51
413,Argentina,Potatoes,1992,199039,591,26156,17.09
414,Argentina,Potatoes,1992,199039,591,26156,17.51
415,Argentina,Carrots,1992,52075,591,26156,17.09
416,Argentina,Carrots,1992,52075,591,26156,17.51
417,Argentina,Broccoli,1992,36217,591,26156,17.09
418,Argentina,Broccoli,1992,36217,591,26156,17.51
419,Argentina,Cucumbers,1992,22915,591,26156,17.09
420,Argentina,Cucumbers,1992,22915,591,26156,17.51
421,Argentina,Spinach,1992,127273,591,26156,17.09
422,Argentina,Spinach,1992,127273,591,26156,17.51
423,Argentina,Bell Peppers,1992,21809,591,26156,17.09
424,Argentina,Bell Peppers,1992,21809,591,26156,17.51
425,Argentina,Potatoes,1993,100000,591,26156,17.32
426,Argentina,Potatoes,1993,100000,591,26156,17.53
427,Argentina,Tomatoes,1993,43552,591,26156,17.32
428,Argentina,Tomatoes,1993,43552,591,26156,17.53
429,Argentina,Potatoes,1993,210314,591,26156,17.32
430,Argentina,Potatoes,1993,210314,591,26156,17.53
431,Argentina,Carrots,1993,43559,591,26156,17.32
432,Argentina,Carrots,1993,43559,591,26156,17.53
433,Argentina,Broccoli,1993,39529,591,26156,17.32
434,Argentina,Broccoli,1993,39529,591,26156,17.53
435,Argentina,Cucumbers,1993,21589,591,26156,17.32
436,Argentina,Cucumbers,1993,21589,591,26156,17.53
437,Argentina,Spinach,1993,122955,591,26156,17.32
438,Argentina,Spinach,1993,122955,591,26156,17.53
439,Argentina,Bell Peppers,1993,23272,591,26156,17.32
440,Argentina,Bell Peppers,1993,23272,591,26156,17.53
441,Argentina,Potatoes,1994,100000,591,30195,18.17
442,Argentina,Potatoes,1994,100000,591,30195,18.31
443,Argentina,Tomatoes,1994,42371,591,30195,18.17
444,Argentina,Tomatoes,1994,42371,591,30195,18.31
445,Argentina,Potatoes,1994,230166,591,30195,18.17
446,Argentina,Potatoes,1994,230166,591,30195,18.31
447,Argentina,Carrots,1994,42989,591,30195,18.17
448,Argentina,Carrots,1994,42989,591,30195,18.31
449,Argentina,Broccoli,1994,35065,591,30195,18.17
450,Argentina,Broccoli,1994,35065,591,30195,18.31
451,Argentina,Cucumbers,1994,20386,591,30195,18.17
452,Argentina,Cucumbers,1994,20386,591,30195,18.31
453,Argentina,Spinach,1994,176667,591,30195,18.17
454,Argentina,Spinach,1994,176667,591,30195,18.31
455,Argentina,Bell Peppers,1994,20237,591,30195,18.17
456,Argentina,Bell Peppers,1994,20237,591,30195,18.31
457,Argentina,Potatoes,1995,100000,591,37842,17.74
458,Argentina,Potatoes,1995,100000,591,37842,17.62
459,Argentina,Tomatoes,1995,45223,591,37842,17.74
460,Argentina,Tomatoes,1995,45223,591,37842,17.62
461,Argentina,Potatoes,1995,274272,591,37842,17.74
462,Argentina,Potatoes,1995,274272,591,37842,17.62
463,Argentina,Carrots,1995,50306,591,37842,17.74
464,Argentina,Carrots,1995,50306,591,37842,17.62
465,Argentina,Broccoli,1995,34588,591,37842,17.74
466,Argentina,Broccoli,1995,34588,591,37842,17.62
467,Argentina,Cucumbers,1995,20446,591,37842,17.74
468,Argentina,Cucumbers,1995,20446,591,37842,17.62
469,Argentina,Spinach,1995,168000,591,37842,17.74
470,Argentina,Spinach,1995,168000,591,37842,17.62
471,Argentina,Bell Peppers,1995,21675,591,37842,17.74
472,Argentina,Bell Peppers,1995,21675,591,37842,17.62
473,Argentina,Potatoes,1996,100000,591,54595,17.64
474,Argentina,Potatoes,1996,100000,591,54595,17.97
475,Argentina,Tomatoes,1996,40397,591,54595,17.64
476,Argentina,Tomatoes,1996,40397,591,54595,17.97
477,Argentina,Potatoes,1996,228877,591,54595,17.64
478,Argentina,Potatoes,1996,228877,591,54595,17.97
479,Argentina,Carrots,1996,51031,591,54595,17.64
480,Argentina,Carrots,1996,51031,591,54595,17.97
481,Argentina,Broccoli,1996,38763,591,54595,17.64
482,Argentina,Broccoli,1996,38763,591,54595,17.97
483,Argentina,Cucumbers,1996,21051,591,54595,17.64
484,Argentina,Cucumbers,1996,21051,591,54595,17.97
485,Argentina,Spinach,1996,170000,591,54595,17.64
